customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,review_headline,review_body
11473195,R2PLDLXNCMW19E,B00BSG6GTY,128387274,SEACRET Secret Mineral Rich Clarifying Mud Mask 3.4 Oz Dead Sea Cleanse Face Brand New,Beauty,5.0,1.0,1.0,Love it!,"The first time I used this product, it made my face tingle a lot and there was minimal discomfort. However, I've used it at least 5 times since then and I have nothing but wonderful things to say about the product. I also love the small applicator it came with so my fingers don't ever touch the mud. It makes my face feel tighter after it's removed as well. I've used it on my sister, mother, grandmother and cousin and they all love it too! We all have very different skin types and it's worked well on all of us"
38243069,R1GVAGTNXAIGYW,B001U85CO0,766146731,Dudu-Osun AfricanBlack Soap (100% Pure),Beauty,5.0,0.0,0.0,"Great, natural soap!",Thank you for providing Dudu-Osun Black soap at a reasonable price.  We love this soap for its natural ingredients and the way that it makes our skin feel.  We definitely recommend it
49384976,R32U67TJZ1QKH0,B004SU8EKG,514341214,Pro Beauty Tools Professional Speed Waver,Beauty,3.0,0.0,0.0,Not great if you already have wavy hair.,"If you have wavy hair and want to look like a poodle, go for it.  This is for straight hair only"
16145774,R2P65P707WRREB,B000QUM5LG,377509094,eye make up remover,Beauty,5.0,0.0,0.0,Best eye make up remover,"I've tried so many different brands of eye make up remover, but this stuff really does the trick, I can't use anything else!"
48960255,R1H4MU0VUU4HK2,B000QU8QS2,553313828,Betty Dain Hair Funnel,Beauty,3.0,0.0,0.0,Water seeps through,I find it a little narrow on the top.  It is okay for just shampoo and wash but not if client has color to wash off.  Also water seeps through the elastic
20228510,R29A6MXWYZZDJ7,B000Z4U52O,359029306,CLINIQUE/RINSE-OFF FOAMING CLEANSER 5.0 OZ,Beauty,5.0,0.0,0.0,Five Stars,Goes on creamy but rinces off to a squeaky clean face
43187876,R1C0I316R4654,B000NCUMH6,317625529,"jerome russell B Blonde Temporary Highlight Spray, 3.5 Ounce",Beauty,5.0,1.0,7.0,Funny,I have no idea. I don't die my hair and want to write a review for fun
51295956,R2WAL1HPJ76AOG,B001MA0QY2,609267623,"HSI Professional Glider | Ceramic Tourmaline Ionic Flat Iron Hair Straightener | Straightens & Curls with Adjustable Temp | Incl Glove, Pouch, & Travel Size Argan Oil Hair Treatment | Packaging Varies",Beauty,5.0,0.0,0.0,Great product,It gets hot quickly and works really well
25689192,R3S945BUEJ4X5F,B0095IMNI0,951383878,Waterpik Complete Care Water Flosser and Sonic Toothbrush,Beauty,5.0,0.0,0.0,Five Stars,good
14220088,R30RAM31WK78NQ,B000FRWNL2,205576691,Revlon Perfect Heat Jumbo 3 Barrel Waver,Beauty,5.0,0.0,0.0,Hair waver,I love this iron it noes even fine or super straight hair wavey the price Is so worth it every girl should have one
3999555,R17WWX98SMW7KB,B000HK1OOY,650003661,Dr. Bronner's Pure-Castile Liquid Soap - Baby Unscented,Beauty,5.0,1.0,1.0,Just received my package.,On time and product was packed tightly with peanuts for safe shipping. Bottle was huge and will last a very long time-- was actually full of soap and not half air. Good deal for the money. Hope this works with dermatitis
24907844,R1ZGLAQIACT4SM,B001FSK70Y,827382381,X5 Superlite 1600W Dual Voltage Ceramic-Ionic Travel Dryer,Beauty,3.0,0.0,0.0,Shipped quickly. Less power than I expected.,Shipped quickly.  Less power than I expected
51326106,RMZR1J51HS12K,B002FBFQME,15982705,Glycerine Hair & Skin Repair - 8.5oz.,Beauty,5.0,0.0,0.0,This is great.,This is better than any lotion or lotion/glycerine mixture I have ever tried.  My skin has been smooth all winter
35159332,R1396S3B211A3F,B002714QH8,566577081,Opi Infinite Shine Crawfishin' for A Compliment,Beauty,5.0,0.0,0.0,this stuff is the best!!!!,"I LOVE this, I am very disappointed I can no longer get it in the store. I put a couple coats of this on before my color, including under my nail, then my color, I can actually get a couple weeks wear out of it! And I wash my hands ALOT! In fact, my nails grow leaving the space between polish and the skin on my fingers, so I actually need to take it off just because of that. I usually just ""scrape"" it off with my thumb nails (why are they so much tougher than my other nails???) rather than using remover. It breaks off nicely. And I use different brands of color, doesn't matter, they all last a lot longer, not to mention not staining my nails"
3597786,R1T2Q323RWYKDK,B00987U5SS,793140069,Professional Barber Razor Edge Hair Cutting and Thinning Shears,Beauty,5.0,0.0,0.0,Five Stars,A+++++
28692458,R4VVD9CCA4VHV,B00FKSWNPM,351856905,"Pantene Pro-V Damage Repair Cleansing Conditioner, 16.9 Fl Oz",Beauty,1.0,0.0,0.0,I had to return this because it DRIED my hair ...,"I had to return this because it DRIED my hair out. I don't understand how people use this and think its softening your hair. I have been using sulfate-free shampoos for years, and in comparison, this was much more drying/damaging"
46594004,R30ZERTJEOJL5O,B00GE3Z8YU,28305958,Yewig Straight Women Lady HAND TIED Synthetic Hair Front Lace Full Wigs 18inch #4/350,Beauty,4.0,0.0,0.0,Fine for what it is,"More orange than advertised, but otherwise just fine"
14380000,RASYO7OJ3TWMR,B0073QR3B8,639286005,BrightTherapy Pimple Remover  Uses Heat & Blue LED Light Therapy for On The Spot Treatment of Acne,Beauty,5.0,0.0,1.0,Great at killing zits.,Works great at reducing zits
35791821,R2AAHAD32HV8F3,B000V193RY,973233110,"Davines Conditioner, NouNou with Tomato Extract for Colour Treated Hair, 8.45-Ounces",Beauty,5.0,3.0,4.0,Amazing Stuff!!,"I LOVE LOVE LOVE this stuff. My hair has never been healthier. Not to gross anyone out but I can go a week without washing my hair and it still doesn't look greasy. Any other shampoo and conditioner would make me wash my hair every other day at the least. By not having to wash my hair so much, I don't have to blow dry and flat iron it. It did take a few weeks for my hair to get used to this new combo but I will never consider using anything else"
5831371,R311SPSD3GSD9O,B004NUX8FW,615524448,ISO Beauty 5 in 1 Curling Iron (5P) - Black,Beauty,5.0,1.0,1.0,love it,cute curls different sizes and last all day. nice for setting the temperature to your  hair depending on your hair thickness or thiness
42762704,R30WTQXWATTRR7,B00CJQEH3E,391175579,"OPI Nail Lacquer, # NL S86 Bubble Bath, 0.5 Ounce",Beauty,5.0,0.0,0.0,very sweet color,Love this color. It's the sheerest of sheer. It stays on for a long time as well. Goes with anything
14806727,R16VRZH8PV9GSH,B00JVTPJJS,16375278,"Skindinavia The Makeup Finishing Spray, Bridal, 4 Fluid Ounce",Beauty,5.0,1.0,1.0,amazing!!,Really works!  Used at work (very busy dialysis clinic-14 hour day) and my makeup stayed!! amazing!!
